epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3116,1.76229,2.32715,1.52866,0.7232,0.77095,0.75205,0.36109,1.63554,2.17449,1.73388,0.00055258,0.00055258,0.00055258
2,120.585,1.65422,1.31007,1.41568,0.75669,0.85136,0.81014,0.38405,1.57637,1.65311,1.71926,0.00109453,0.00109453,0.00109453
3,176.521,1.60078,1.18933,1.39592,0.6847,0.76171,0.77087,0.38581,1.48538,1.38452,1.50435,0.00162273,0.00162273,0.00162273
4,231.768,1.57377,1.15668,1.36696,0.83378,0.87976,0.88058,0.42966,1.52442,1.18182,1.46284,0.00160511,0.00160511,0.00160511
5,287.586,1.51099,1.08927,1.3223,0.81162,0.85196,0.84991,0.43983,1.50959,1.04383,1.48751,0.00158448,0.00158448,0.00158448
6,343.019,1.48468,1.0624,1.3018,0.82954,0.85196,0.87191,0.46548,1.43911,1.03821,1.37701,0.00156385,0.00156385,0.00156385
7,398.271,1.447,1.02381,1.27811,0.77995,0.83012,0.83709,0.43042,1.48466,1.02259,1.39691,0.00154323,0.00154323,0.00154323
8,453.69,1.43024,1.01555,1.2633,0.82541,0.7968,0.84648,0.45817,1.44992,1.08778,1.41709,0.0015226,0.0015226,0.0015226
9,509.462,1.40418,0.99335,1.24666,0.55888,0.53073,0.52389,0.18676,2.26416,1.75592,1.94728,0.00150197,0.00150197,0.00150197
10,564.559,1.4063,0.96974,1.25277,0.82901,0.82051,0.84061,0.45654,1.45441,1.04291,1.36623,0.00148134,0.00148134,0.00148134
11,619.801,1.39062,0.95621,1.23413,0.84672,0.87104,0.89353,0.49007,1.39577,0.93326,1.32198,0.00146071,0.00146071,0.00146071
12,675.369,1.36776,0.96942,1.22355,0.83391,0.86366,0.88197,0.49618,1.35495,0.9436,1.31467,0.00144008,0.00144008,0.00144008
13,731.472,1.3531,0.9329,1.2046,0.85695,0.87151,0.8733,0.4884,1.36084,0.89854,1.3133,0.00141945,0.00141945,0.00141945
14,786.673,1.35244,0.92689,1.2211,0.77108,0.84358,0.86073,0.50156,1.30164,0.99721,1.2973,0.00139882,0.00139882,0.00139882
15,842.295,1.33037,0.9224,1.19913,0.85467,0.8865,0.88579,0.52122,1.30771,0.85565,1.27299,0.00137819,0.00137819,0.00137819
16,897.557,1.31139,0.89901,1.18596,0.83568,0.87821,0.89358,0.51408,1.33775,0.86678,1.30251,0.00135756,0.00135756,0.00135756
17,953.081,1.31622,0.90511,1.19368,0.82708,0.87805,0.87336,0.49836,1.36419,0.91801,1.3199,0.00133693,0.00133693,0.00133693
18,1008.58,1.3069,0.89277,1.18413,0.83548,0.87648,0.87057,0.5069,1.33811,0.85623,1.28619,0.0013163,0.0013163,0.0013163
19,1063.63,1.30511,0.88758,1.18707,0.863,0.86592,0.90018,0.51466,1.31912,0.91333,1.28601,0.00129568,0.00129568,0.00129568
20,1119.13,1.26816,0.8755,1.16192,0.82162,0.88177,0.878,0.5142,1.32428,0.87481,1.29965,0.00127505,0.00127505,0.00127505
21,1174.54,1.27716,0.85735,1.16207,0.86335,0.87836,0.89276,0.53015,1.27484,0.8187,1.27701,0.00125442,0.00125442,0.00125442
22,1229.61,1.27146,0.86216,1.16865,0.82167,0.86872,0.87593,0.51667,1.29222,0.89529,1.28895,0.00123379,0.00123379,0.00123379
23,1284.84,1.27465,0.85624,1.166,0.85775,0.88349,0.89155,0.52626,1.2694,0.82644,1.26093,0.00121316,0.00121316,0.00121316
24,1340.28,1.24117,0.83897,1.15338,0.85488,0.88547,0.89621,0.50884,1.33512,0.87849,1.29044,0.00119253,0.00119253,0.00119253
25,1395.45,1.2422,0.82242,1.1355,0.82387,0.87989,0.87539,0.52475,1.26425,0.85212,1.2821,0.0011719,0.0011719,0.0011719
26,1450.81,1.23808,0.82768,1.14827,0.85773,0.87709,0.87117,0.52247,1.25161,0.79355,1.26011,0.00115127,0.00115127,0.00115127
27,1506.03,1.23071,0.83082,1.14033,0.84574,0.88937,0.89204,0.53922,1.2734,0.81733,1.2547,0.00113064,0.00113064,0.00113064
28,1561.42,1.2148,0.81782,1.13431,0.83192,0.88547,0.89069,0.53885,1.26969,0.79998,1.26735,0.00111001,0.00111001,0.00111001
29,1616.75,1.21243,0.8045,1.13538,0.86194,0.88268,0.9045,0.51238,1.30143,0.82329,1.28571,0.00108938,0.00108938,0.00108938
30,1672.14,1.22272,0.81498,1.13709,0.8513,0.87709,0.89517,0.54005,1.24024,0.79731,1.24841,0.00106876,0.00106876,0.00106876
31,1727.43,1.19764,0.79774,1.12143,0.83099,0.87709,0.88709,0.53292,1.26636,0.8295,1.24453,0.00104813,0.00104813,0.00104813
32,1782.33,1.19082,0.79777,1.13035,0.83089,0.88055,0.90469,0.54623,1.23871,0.77621,1.24048,0.0010275,0.0010275,0.0010275
33,1838.04,1.20118,0.79874,1.12764,0.85191,0.89665,0.89153,0.51808,1.28483,0.80242,1.26158,0.00100687,0.00100687,0.00100687
34,1893.31,1.17832,0.785,1.11252,0.87123,0.89676,0.91911,0.55161,1.25437,0.78551,1.26046,0.000986239,0.000986239,0.000986239
35,1948.78,1.1861,0.77718,1.11904,0.86121,0.90223,0.9279,0.5591,1.25676,0.74364,1.27599,0.00096561,0.00096561,0.00096561
36,2004.17,1.17133,0.75492,1.11359,0.87251,0.89768,0.90964,0.56248,1.2201,0.74375,1.24422,0.000944981,0.000944981,0.000944981
37,2059.75,1.16229,0.76004,1.11136,0.87958,0.89917,0.92443,0.57021,1.24389,0.73898,1.24553,0.000924352,0.000924352,0.000924352
38,2114.96,1.1569,0.74691,1.10245,0.91183,0.87374,0.92079,0.57585,1.22034,0.74109,1.24754,0.000903722,0.000903722,0.000903722
39,2170.39,1.15818,0.75115,1.11298,0.85419,0.91332,0.92618,0.55729,1.24689,0.74615,1.25903,0.000883093,0.000883093,0.000883093
40,2225.57,1.13777,0.72741,1.09949,0.87806,0.91061,0.92732,0.56059,1.28031,0.72507,1.27742,0.000862464,0.000862464,0.000862464
41,2280.75,1.12828,0.72743,1.09482,0.86019,0.91586,0.91905,0.56329,1.2144,0.73651,1.24837,0.000841835,0.000841835,0.000841835
42,2336.08,1.13491,0.71307,1.09614,0.88811,0.86311,0.89923,0.55791,1.22936,0.75188,1.24336,0.000821206,0.000821206,0.000821206
43,2391.26,1.13351,0.71221,1.09011,0.85263,0.85947,0.90436,0.55392,1.25603,0.75021,1.25938,0.000800577,0.000800577,0.000800577
44,2446.45,1.12211,0.70683,1.08841,0.8797,0.90275,0.91871,0.55916,1.27471,0.71377,1.294,0.000779948,0.000779948,0.000779948
45,2501.84,1.12095,0.71524,1.09556,0.86005,0.90503,0.90928,0.5638,1.2467,0.72796,1.27911,0.000759318,0.000759318,0.000759318
46,2557.42,1.09418,0.6905,1.07184,0.87217,0.8743,0.90328,0.55085,1.26823,0.73794,1.3041,0.000738689,0.000738689,0.000738689
