epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8618,1.88574,2.29195,1.60002,0.67132,0.68008,0.70683,0.31398,1.77543,1.6829,1.77762,0.000554123,0.000554123,0.000554123
2,80.9277,1.71133,1.31531,1.4499,0.79914,0.80447,0.80268,0.38276,1.72536,1.24419,1.66989,0.0010988,0.0010988,0.0010988
3,118.082,1.65766,1.24565,1.42715,0.7629,0.83175,0.8175,0.38577,1.5975,1.24302,1.53555,0.00163248,0.00163248,0.00163248
4,155.51,1.57053,1.18357,1.37271,0.80557,0.83753,0.83101,0.40034,1.62489,1.11282,1.57429,0.00161749,0.00161749,0.00161749
5,192.733,1.5573,1.12267,1.3671,0.84106,0.88055,0.87322,0.43624,1.60026,1.03965,1.50646,0.00160099,0.00160099,0.00160099
6,230.099,1.52054,1.09103,1.34185,0.82365,0.85779,0.85701,0.435,1.48449,1.06588,1.42524,0.00158448,0.00158448,0.00158448
7,266.846,1.50855,1.06759,1.32423,0.80541,0.88048,0.86035,0.4354,1.52315,1.03443,1.4569,0.00156798,0.00156798,0.00156798
8,304.465,1.46517,1.05457,1.30147,0.83051,0.8462,0.86752,0.44687,1.51715,1.1083,1.46807,0.00155148,0.00155148,0.00155148
9,341.984,1.46717,1.01593,1.28935,0.83979,0.85495,0.85525,0.47652,1.39609,1.00117,1.34562,0.00153497,0.00153497,0.00153497
10,379.925,1.44108,1.01838,1.27578,0.82535,0.86165,0.86603,0.47748,1.39566,1.02749,1.34853,0.00151847,0.00151847,0.00151847
11,417.328,1.41183,0.98155,1.25864,0.85389,0.88184,0.89622,0.50021,1.34752,0.93301,1.31746,0.00150197,0.00150197,0.00150197
12,454.003,1.38047,0.9705,1.23967,0.85148,0.86872,0.88256,0.48692,1.3854,0.97031,1.37656,0.00148546,0.00148546,0.00148546
13,491.021,1.36492,0.96657,1.23041,0.83646,0.85494,0.86983,0.49917,1.34088,0.9226,1.33698,0.00146896,0.00146896,0.00146896
14,528.27,1.37586,0.96167,1.24174,0.86305,0.88025,0.89746,0.50065,1.3846,0.9315,1.34002,0.00145246,0.00145246,0.00145246
15,565.216,1.3639,0.9547,1.22822,0.84791,0.85754,0.89091,0.49246,1.36306,0.94672,1.3187,0.00143595,0.00143595,0.00143595
16,602.364,1.3431,0.93247,1.21114,0.82913,0.87151,0.89113,0.49772,1.34836,0.89851,1.3282,0.00141945,0.00141945,0.00141945
17,638.997,1.34601,0.92588,1.20391,0.81525,0.87229,0.87978,0.51058,1.31841,0.93544,1.28376,0.00140295,0.00140295,0.00140295
18,676.177,1.33054,0.91548,1.19824,0.84655,0.89249,0.89336,0.51783,1.28972,0.86965,1.2912,0.00138644,0.00138644,0.00138644
19,713.623,1.32993,0.91922,1.2105,0.86956,0.86652,0.88952,0.50854,1.35146,0.88265,1.31914,0.00136994,0.00136994,0.00136994
20,750.667,1.32733,0.92136,1.20731,0.86073,0.85754,0.88118,0.4992,1.33542,0.86531,1.3012,0.00135344,0.00135344,0.00135344
