epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.2359,1.88124,2.17054,1.54825,0.69569,0.68994,0.7021,0.30265,1.78325,1.44402,1.5628,0.00055258,0.00055258,0.00055258
2,49.7332,1.63249,1.26186,1.35048,0.72996,0.77863,0.82995,0.38617,1.62035,1.20036,1.44503,0.0010863,0.0010863,0.0010863
3,71.7853,1.60187,1.18616,1.33697,0.76236,0.81285,0.83891,0.44297,1.55284,1.10463,1.37085,0.00159802,0.00159802,0.00159802
4,93.5974,1.55408,1.12041,1.31214,0.65571,0.79923,0.78465,0.36786,1.62716,1.30212,1.45166,0.00156798,0.00156798,0.00156798
5,115.182,1.51546,1.08129,1.28374,0.81289,0.85754,0.85275,0.4605,1.46307,1.07127,1.30357,0.00153497,0.00153497,0.00153497
6,136.916,1.50363,1.05967,1.27407,0.72692,0.84286,0.83251,0.44892,1.40487,1.06793,1.30019,0.00150197,0.00150197,0.00150197
7,158.574,1.4579,1.03028,1.23417,0.86456,0.88303,0.87385,0.4477,1.45833,0.99272,1.26589,0.00146896,0.00146896,0.00146896
8,180.422,1.42296,1.00817,1.21878,0.77799,0.84078,0.85073,0.46338,1.44272,1.00996,1.27383,0.00143595,0.00143595,0.00143595
9,201.964,1.41679,1.00111,1.21091,0.83913,0.88547,0.87883,0.47155,1.42506,0.97411,1.26426,0.00140295,0.00140295,0.00140295
10,223.959,1.41117,0.96036,1.20568,0.8462,0.85341,0.86206,0.49512,1.37155,0.91153,1.22283,0.00136994,0.00136994,0.00136994
11,245.571,1.3821,0.94473,1.18731,0.8415,0.87288,0.89085,0.50896,1.32466,0.90734,1.18722,0.00133693,0.00133693,0.00133693
12,267.395,1.35886,0.94041,1.17425,0.83814,0.87989,0.86655,0.49112,1.32234,0.92992,1.19186,0.00130393,0.00130393,0.00130393
13,289.003,1.34768,0.92993,1.168,0.82696,0.85196,0.87572,0.49787,1.33455,0.88737,1.20127,0.00127092,0.00127092,0.00127092
14,310.748,1.35434,0.94023,1.18842,0.82121,0.84637,0.85373,0.4921,1.34332,0.91873,1.22983,0.00123791,0.00123791,0.00123791
15,332.503,1.33195,0.91951,1.16693,0.85047,0.88597,0.88119,0.51257,1.334,0.89088,1.22348,0.00120491,0.00120491,0.00120491
16,354.503,1.31596,0.90617,1.15102,0.81157,0.88268,0.87616,0.50444,1.26852,0.88486,1.19247,0.0011719,0.0011719,0.0011719
17,376.003,1.31786,0.89199,1.15647,0.86404,0.87989,0.89079,0.51237,1.31721,0.87929,1.22422,0.00113889,0.00113889,0.00113889
18,397.727,1.30718,0.8948,1.14664,0.85425,0.84078,0.87649,0.52025,1.30249,0.83619,1.1879,0.00110589,0.00110589,0.00110589
19,419.624,1.28435,0.87194,1.13952,0.84476,0.86492,0.87407,0.50004,1.3222,0.88057,1.20315,0.00107288,0.00107288,0.00107288
20,441.276,1.27714,0.87632,1.12343,0.8218,0.88798,0.88667,0.52906,1.26775,0.83498,1.17591,0.00103987,0.00103987,0.00103987
21,463.005,1.27854,0.85545,1.1253,0.83436,0.87652,0.88395,0.51543,1.29674,0.8308,1.18198,0.00100687,0.00100687,0.00100687
22,484.601,1.26351,0.86824,1.12008,0.7929,0.85162,0.87977,0.52866,1.26652,0.87167,1.19195,0.000973861,0.000973861,0.000973861
23,505.958,1.27624,0.85855,1.12417,0.82631,0.87894,0.89152,0.53263,1.29006,0.85486,1.19383,0.000940855,0.000940855,0.000940855
24,527.839,1.23758,0.84548,1.11536,0.85029,0.88547,0.89851,0.5267,1.26932,0.84814,1.15548,0.000907848,0.000907848,0.000907848
25,549.473,1.24748,0.8305,1.10727,0.85071,0.88228,0.89281,0.54176,1.27774,0.82235,1.16176,0.000874842,0.000874842,0.000874842
26,571.016,1.23263,0.82483,1.10744,0.85688,0.89385,0.90363,0.53693,1.243,0.82664,1.17064,0.000841835,0.000841835,0.000841835
27,592.492,1.22694,0.8174,1.10074,0.84278,0.86968,0.89017,0.53561,1.26464,0.81511,1.16683,0.000808828,0.000808828,0.000808828
28,614.48,1.20715,0.8065,1.09331,0.83318,0.85873,0.88562,0.53873,1.28606,0.80121,1.19306,0.000775822,0.000775822,0.000775822
29,636.16,1.20367,0.79974,1.09479,0.84166,0.87989,0.89115,0.52688,1.30751,0.81387,1.2115,0.000742815,0.000742815,0.000742815
30,657.937,1.22542,0.79962,1.10788,0.82402,0.89385,0.90504,0.54794,1.27509,0.81212,1.17756,0.000709809,0.000709809,0.000709809
31,680.246,1.1915,0.78807,1.07633,0.83851,0.88434,0.89213,0.55736,1.20801,0.77862,1.16095,0.000676802,0.000676802,0.000676802
32,702.391,1.1758,0.79514,1.08201,0.82396,0.88547,0.9078,0.55843,1.21193,0.77387,1.15018,0.000643795,0.000643795,0.000643795
33,724.417,1.19369,0.7887,1.08234,0.84649,0.88494,0.92146,0.55666,1.2112,0.77522,1.14955,0.000610789,0.000610789,0.000610789
34,746.232,1.17156,0.76918,1.07164,0.85364,0.86253,0.90487,0.54716,1.21986,0.77225,1.15574,0.000577782,0.000577782,0.000577782
35,767.961,1.15962,0.75445,1.07666,0.86079,0.88268,0.91595,0.56626,1.25841,0.74534,1.19049,0.000544776,0.000544776,0.000544776
36,789.51,1.173,0.76114,1.07223,0.88027,0.89385,0.91582,0.56499,1.19952,0.75471,1.13046,0.000511769,0.000511769,0.000511769
37,811.193,1.14789,0.74579,1.06578,0.85605,0.88602,0.91098,0.56434,1.23572,0.74487,1.1535,0.000478762,0.000478762,0.000478762
38,832.796,1.1309,0.73471,1.05681,0.88325,0.89451,0.9175,0.56891,1.20844,0.73991,1.13531,0.000445756,0.000445756,0.000445756
39,854.299,1.13791,0.73132,1.06494,0.8624,0.9162,0.92655,0.56356,1.2384,0.73257,1.16684,0.000412749,0.000412749,0.000412749
40,876.086,1.11807,0.71421,1.0553,0.88263,0.90292,0.92487,0.57069,1.23293,0.7169,1.14948,0.000379743,0.000379743,0.000379743
41,932.892,1.11135,0.72293,1.0625,0.87646,0.91323,0.93256,0.5679,1.23472,0.72085,1.14585,0.000346736,0.000346736,0.000346736
42,954.094,1.10345,0.70509,1.0547,0.89441,0.90933,0.92464,0.56742,1.21034,0.71487,1.14065,0.000313729,0.000313729,0.000313729
43,975.881,1.08918,0.69877,1.04386,0.8697,0.90625,0.92758,0.58716,1.2195,0.71922,1.1549,0.000280723,0.000280723,0.000280723
44,997.251,1.08602,0.68618,1.05069,0.88141,0.9006,0.91424,0.5795,1.2122,0.72725,1.13683,0.000247716,0.000247716,0.000247716
45,1018.92,1.07307,0.67525,1.04641,0.86818,0.90004,0.91338,0.58025,1.21457,0.71926,1.15291,0.00021471,0.00021471,0.00021471
46,1040.38,1.05863,0.67141,1.03239,0.87652,0.91942,0.93797,0.57976,1.20465,0.70691,1.15304,0.000181703,0.000181703,0.000181703
47,1061.59,1.04885,0.66608,1.02842,0.8598,0.91228,0.92119,0.58573,1.19334,0.70121,1.14175,0.000148696,0.000148696,0.000148696
48,1082.99,1.03681,0.64856,1.02064,0.87052,0.91006,0.92934,0.59019,1.20328,0.6976,1.15933,0.00011569,0.00011569,0.00011569
49,1104.66,1.03105,0.64331,1.02148,0.87135,0.91061,0.9285,0.59108,1.18021,0.70653,1.12959,8.26832e-05,8.26832e-05,8.26832e-05
50,1126.24,1.01934,0.64115,1.0185,0.8821,0.90575,0.9284,0.58966,1.19208,0.69403,1.14471,4.96766e-05,4.96766e-05,4.96766e-05
