Device: cuda
Vocab size (incl. blank): 61
Train: 1363, Val: 165
Backbone: resnet18  params: 5,345,149
epoch   1/100  loss 11.6325  val CER 100.00  WER 100.00  exact 0.0%  (18.6s, lr 1.95e-04)
epoch   2/100  loss 3.0612  val CER 100.00  WER 100.00  exact 0.0%  (17.8s, lr 3.95e-04)
epoch   3/100  loss 2.9061  val CER 100.00  WER 100.00  exact 0.0%  (17.3s, lr 5.95e-04)
epoch   4/100  loss 2.7650  val CER 94.54  WER 95.45  exact 0.0%  (17.5s, lr 7.95e-04)
epoch   5/100  loss 2.6339  val CER 91.35  WER 92.09  exact 0.0%  (17.4s, lr 9.95e-04)
epoch   6/100  loss 2.5288  val CER 91.31  WER 92.00  exact 0.0%  (17.3s, lr 1.00e-03)
epoch   7/100  loss 2.4336  val CER 88.38  WER 92.59  exact 0.0%  (17.7s, lr 9.99e-04)
epoch   8/100  loss 2.3225  val CER 82.16  WER 93.35  exact 0.0%  (17.7s, lr 9.98e-04)
epoch   9/100  loss 2.2439  val CER 70.39  WER 89.90  exact 0.0%  (17.3s, lr 9.96e-04)
epoch  10/100  loss 2.0916  val CER 71.68  WER 92.93  exact 0.0%  (17.4s, lr 9.93e-04)
epoch  11/100  loss 2.0280  val CER 71.27  WER 93.60  exact 0.0%  (17.4s, lr 9.90e-04)
epoch  12/100  loss 1.9906  val CER 64.77  WER 90.49  exact 0.0%  (17.3s, lr 9.87e-04)
epoch  13/100  loss 1.9567  val CER 63.21  WER 88.55  exact 0.0%  (17.5s, lr 9.83e-04)
epoch  14/100  loss 1.9681  val CER 68.80  WER 84.18  exact 0.0%  (17.5s, lr 9.78e-04)
epoch  15/100  loss 2.0271  val CER 65.22  WER 88.47  exact 0.0%  (17.4s, lr 9.73e-04)
epoch  16/100  loss 1.9250  val CER 62.30  WER 84.43  exact 0.0%  (17.3s, lr 9.67e-04)
epoch  17/100  loss 1.8807  val CER 77.86  WER 92.34  exact 0.0%  (17.3s, lr 9.61e-04)
epoch  18/100  loss 1.8700  val CER 65.07  WER 90.66  exact 0.0%  (17.5s, lr 9.55e-04)
epoch  19/100  loss 1.8794  val CER 63.60  WER 88.22  exact 0.0%  (17.8s, lr 9.48e-04)
epoch  20/100  loss 1.8302  val CER 60.99  WER 91.50  exact 0.0%  (17.3s, lr 9.40e-04)
epoch  21/100  loss 1.8376  val CER 57.05  WER 82.49  exact 0.0%  (17.4s, lr 9.32e-04)
epoch  22/100  loss 1.8266  val CER 61.53  WER 90.24  exact 0.0%  (17.4s, lr 9.23e-04)
epoch  23/100  loss 1.8412  val CER 60.70  WER 92.85  exact 0.0%  (17.2s, lr 9.14e-04)
epoch  24/100  loss 1.8876  val CER 56.87  WER 87.71  exact 0.0%  (17.6s, lr 9.05e-04)
epoch  25/100  loss 1.8262  val CER 58.84  WER 93.60  exact 0.0%  (17.4s, lr 8.95e-04)
epoch  26/100  loss 1.7970  val CER 57.01  WER 87.04  exact 0.0%  (17.5s, lr 8.84e-04)
epoch  27/100  loss 1.8102  val CER 63.96  WER 93.77  exact 0.0%  (17.5s, lr 8.74e-04)
epoch  28/100  loss 1.7834  val CER 59.93  WER 95.88  exact 0.0%  (17.2s, lr 8.62e-04)
epoch  29/100  loss 1.7938  val CER 54.42  WER 91.41  exact 0.0%  (17.5s, lr 8.51e-04)
epoch  30/100  loss 1.7835  val CER 55.60  WER 89.73  exact 0.0%  (17.5s, lr 8.39e-04)
epoch  31/100  loss 1.7629  val CER 60.36  WER 93.35  exact 0.0%  (17.2s, lr 8.27e-04)
epoch  32/100  loss 1.7573  val CER 61.01  WER 89.31  exact 0.0%  (17.4s, lr 8.14e-04)
epoch  33/100  loss 1.7836  val CER 59.16  WER 92.68  exact 0.0%  (17.4s, lr 8.01e-04)
epoch  34/100  loss 1.7882  val CER 61.53  WER 93.69  exact 0.0%  (17.2s, lr 7.87e-04)
epoch  35/100  loss 1.8088  val CER 59.72  WER 86.62  exact 0.0%  (17.5s, lr 7.74e-04)
epoch  36/100  loss 1.7948  val CER 63.78  WER 85.69  exact 0.0%  (17.5s, lr 7.60e-04)
epoch  37/100  loss 1.7636  val CER 63.93  WER 84.18  exact 0.0%  (17.4s, lr 7.46e-04)
epoch  38/100  loss 1.7433  val CER 63.12  WER 85.52  exact 0.0%  (17.5s, lr 7.31e-04)
epoch  39/100  loss 1.7341  val CER 53.47  WER 85.02  exact 0.0%  (17.3s, lr 7.16e-04)
epoch  40/100  loss 1.7583  val CER 63.89  WER 85.44  exact 0.0%  (17.2s, lr 7.01e-04)
epoch  41/100  loss 1.7556  val CER 55.01  WER 86.28  exact 0.0%  (17.6s, lr 6.86e-04)
epoch  42/100  loss 1.7480  val CER 53.59  WER 80.72  exact 0.0%  (17.3s, lr 6.71e-04)
epoch  43/100  loss 1.7642  val CER 62.22  WER 88.72  exact 0.0%  (17.6s, lr 6.55e-04)
epoch  44/100  loss 1.7550  val CER 53.50  WER 80.56  exact 0.0%  (17.6s, lr 6.39e-04)
epoch  45/100  loss 1.7257  val CER 54.33  WER 80.56  exact 0.0%  (17.2s, lr 6.23e-04)
epoch  46/100  loss 1.7261  val CER 52.70  WER 81.73  exact 0.0%  (17.8s, lr 6.07e-04)
epoch  47/100  loss 1.7559  val CER 61.38  WER 92.85  exact 0.0%  (17.6s, lr 5.91e-04)
epoch  48/100  loss 1.7528  val CER 63.28  WER 90.32  exact 0.0%  (17.4s, lr 5.75e-04)
epoch  49/100  loss 1.7333  val CER 52.86  WER 83.84  exact 0.0%  (17.4s, lr 5.58e-04)
epoch  50/100  loss 1.7164  val CER 61.74  WER 95.03  exact 0.0%  (17.2s, lr 5.42e-04)
epoch  51/100  loss 1.6959  val CER 51.64  WER 82.66  exact 0.0%  (17.4s, lr 5.25e-04)
epoch  52/100  loss 1.6945  val CER 51.57  WER 80.22  exact 0.0%  (17.5s, lr 5.09e-04)
epoch  53/100  loss 1.6716  val CER 64.45  WER 94.70  exact 0.0%  (17.4s, lr 4.92e-04)
epoch  54/100  loss 1.6914  val CER 48.77  WER 77.44  exact 0.0%  (17.4s, lr 4.76e-04)
epoch  55/100  loss 1.6688  val CER 50.58  WER 75.76  exact 0.0%  (17.4s, lr 4.59e-04)
epoch  56/100  loss 1.6616  val CER 49.31  WER 75.17  exact 0.0%  (17.2s, lr 4.43e-04)
epoch  57/100  loss 1.6537  val CER 53.38  WER 75.59  exact 0.0%  (17.7s, lr 4.26e-04)
epoch  58/100  loss 1.6657  val CER 49.02  WER 71.89  exact 0.0%  (17.5s, lr 4.10e-04)
epoch  59/100  loss 1.6483  val CER 49.60  WER 74.83  exact 0.0%  (17.2s, lr 3.94e-04)
epoch  60/100  loss 1.6318  val CER 49.51  WER 76.94  exact 0.0%  (17.4s, lr 3.78e-04)
epoch  61/100  loss 1.6934  val CER 60.99  WER 93.94  exact 0.0%  (17.3s, lr 3.62e-04)
epoch  62/100  loss 2.3093  val CER 61.26  WER 80.39  exact 0.0%  (17.2s, lr 3.46e-04)
epoch  63/100  loss 1.8515  val CER 69.16  WER 95.03  exact 0.0%  (17.9s, lr 3.30e-04)
epoch  64/100  loss 1.7166  val CER 51.96  WER 78.03  exact 0.0%  (17.5s, lr 3.15e-04)
epoch  65/100  loss 1.6747  val CER 70.43  WER 94.53  exact 0.0%  (17.2s, lr 3.00e-04)
epoch  66/100  loss 1.6635  val CER 51.41  WER 74.16  exact 0.0%  (17.2s, lr 2.84e-04)
epoch  67/100  loss 1.6482  val CER 50.56  WER 73.91  exact 0.0%  (17.2s, lr 2.70e-04)
epoch  68/100  loss 1.6377  val CER 48.29  WER 72.05  exact 0.0%  (17.4s, lr 2.55e-04)
epoch  69/100  loss 1.6196  val CER 47.75  WER 71.97  exact 0.0%  (17.5s, lr 2.41e-04)
epoch  70/100  loss 1.6082  val CER 57.48  WER 88.47  exact 0.0%  (17.3s, lr 2.27e-04)
epoch  71/100  loss 1.6187  val CER 47.16  WER 70.79  exact 0.0%  (17.3s, lr 2.13e-04)
epoch  72/100  loss 1.6084  val CER 48.20  WER 70.45  exact 0.0%  (17.5s, lr 2.00e-04)
epoch  73/100  loss 1.5968  val CER 57.19  WER 85.19  exact 0.0%  (17.5s, lr 1.87e-04)
epoch  74/100  loss 1.5883  val CER 46.95  WER 69.61  exact 0.0%  (17.9s, lr 1.74e-04)
epoch  75/100  loss 1.5864  val CER 47.66  WER 70.62  exact 0.0%  (17.5s, lr 1.62e-04)
epoch  76/100  loss 1.5810  val CER 56.01  WER 84.68  exact 0.0%  (17.3s, lr 1.50e-04)
epoch  77/100  loss 1.5830  val CER 46.95  WER 68.27  exact 0.0%  (17.4s, lr 1.38e-04)
epoch  78/100  loss 1.5652  val CER 46.98  WER 68.69  exact 0.0%  (17.2s, lr 1.27e-04)
epoch  79/100  loss 1.5680  val CER 47.11  WER 69.36  exact 0.0%  (17.5s, lr 1.16e-04)
epoch  80/100  loss 1.5620  val CER 47.70  WER 71.30  exact 0.0%  (17.7s, lr 1.06e-04)
epoch  81/100  loss 1.5584  val CER 47.45  WER 69.19  exact 0.0%  (17.5s, lr 9.57e-05)
epoch  82/100  loss 1.5516  val CER 46.61  WER 69.19  exact 0.0%  (17.4s, lr 8.62e-05)
epoch  83/100  loss 1.5484  val CER 46.91  WER 70.62  exact 0.0%  (17.5s, lr 7.72e-05)
epoch  84/100  loss 1.5601  val CER 47.09  WER 70.79  exact 0.0%  (17.3s, lr 6.86e-05)
epoch  85/100  loss 1.5447  val CER 47.23  WER 70.12  exact 0.0%  (17.7s, lr 6.05e-05)
epoch  86/100  loss 1.5449  val CER 46.66  WER 69.53  exact 0.0%  (17.4s, lr 5.28e-05)
